sr no,Content,target
416,This is the worst day ever.,ai
417,I'm so frustrated with myself.,ai
418,Everything is going wrong.,ai
419,I'm so discouraged.,ai
420,I'm so disappointed in the outcome.,ai
421,I'm so angry at myself.,ai
422,I can't believe how badly this turned out.,ai
423,I'm so sick of feeling like a failure.,ai
424,This is a total disaster.,ai
425,I feel like I'm in a nightmare that won't end.,ai
426,I'm so sick of dealing with this mess.,ai
427,I feel like I'm in a never-ending cycle of disappointment.,ai
428,I'm so tired of being let down by everyone and everything.,ai
429,I can't keep doing this to myself.,ai
430,I'm so upset with the way things turned out.,ai
431,I'm so disappointed in the situation.,ai
432,I feel like I'm in a hopeless situation.,ai
433,I'm so frustrated with the lack of progress.,ai
434,Believe you can and you're halfway there.,ai
435,"Success is not final, failure is not fatal: It is the courage to continue that counts.",ai
436,Be the change you wish to see in the world.,ai
437,You miss 100% of the shots you don't take.,ai
438,"The greatest glory in living lies not in never falling, but in rising every time we fall.",ai
439,"I have not failed. I've just found 10,000 ways that won't work.",ai
440,You are never too old to set another goal or to dream a new dream.,ai
441,It does not matter how slowly you go as long as you do not stop.,ai
442,A journey of a thousand miles begins with a single step.,ai
443,Happiness is not something ready made. It comes from your own actions.,ai
444,The best revenge is massive success.,ai
445,"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.",ai
446,The only way to do great work is to love what you do.,ai
447,"You don't have to be great to start, but you have to start to be great.",ai
448,Don't watch the clock; do what it does. Keep going.,ai
449,The future belongs to those who believe in the beauty of their dreams.,ai
450,The only person you are destined to become is the person you decide to be.,ai
451,It's not the years in your life that count. It's the life in your years.,ai
452,"In the end, we will remember not the words of our enemies, but the silence of our friends.",ai
453,I have a dream that one day this nation will rise up and live out the true meaning of its creed.,ai
454,The greatest wealth is to live content with little.,ai
455,Happiness is a warm puppy.,ai
456,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",ai
457,The only true wisdom is in knowing you know nothing.,ai
458,The purpose of our lives is to be happy.,ai
459,The best way to predict your future is to create it.,ai
460,A room without books is like a body without a soul.,ai
461,The only thing necessary for the triumph of evil is for good men to do nothing.,ai
462,"You can't go back and change the beginning, but you can start where you are and change the ending.",ai
463,The way to get started is to quit talking and begin doing.,ai
464,may the fourth be with you! happy star wars day,human
465,"I`ve been unlocked for decades now...just not lucky, never have been. Gottta make my own luck and that involves $$$$$",human
466,Taking care of yucky stuff.,human
467,homework on a friday night...lame,human
468,Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined,human
469,industrial tommorow! oh yeah & I get to go see a bunch of old people go away forever & I will probably cry all over the place.,human
470,"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny",human
471,at the redi med. getting checked for strep throat.,human
472,I`m either always on the train or at work,human
473,i hope it doesnt rain tonight tomorrow my fam. comes to visit swimming pool and carne asada if it rains the pool is going to be dirty,human
474,"Laughing for no reason...maybe its because its 2:27 and I`m tired, haha. Maybe i should go to bed Night!",human
475,That`s me on a good day,human
476,_Greta That is so not good. Your box is worth way more than that!,human
477,I created my account just to get a chance to chat with you (: I ADMIRE YOU! you`re amazing! you inspire me to write <3,human
478,Think I`ll go enjoy the sun`s rays again...I LOVE being off work,human
479,"hahaha, I was busy, now I see what I replied to you! Yes that is true",human
480,thank you cici right back at ya!,human
481,very bad.,human
482,he`s not logging in yet. and i doubt if he will check his his replies here in twitter. but we must keep on trying!,human
483,Very content with my life at the moment,human
484,"thanks, i feel a lot better now.. but it hurt like hell!!! good luck with the lousy student writing.",human
485,Thank you x,human
486,I think we have it pretty much figured out. added a box in the Helsinki group where you can see the tweets,human
487,I must have just missed & I guess I scared & _TX off... Sorry,human
488,"esther rhymes with: investor, tester, jester, pester, polyester, semester, sylvester, requester... just to name a few",human
489,http://twitpic.com/4vdc3 - Lexus has the Twitpic! Happy mother`s day to you Lexus. I hopw it`s a nice one for you.,human
490,Last night in Australia,human
491,i was an extra. got ready for work for nothing. studying all night,human
492,_uts bass love,human
493,omg J.O.N.A.S. is my new fave show <3 one guess as to why hahahha,human
494,it`s Mothers Day today,human
495,Yeah it is. Thanks,human
496,_i_am_jes YAY! congrats! i`m afraid to check my grades!,human
497,I feel really bad for female racoons with abusive racoon husbands... when you always have black eyes- no one can help,human
498,Same Difference Today going to go and have a shower then get ready!,human
499,??????? #bash ?? ??????? ????????? ????,human
500,"Its prob cuz I don`t really like sleeping in late, even if I tried.",human
501,Congrats on the knottie man!,human
502,"Awww. Don`t mean to sound like an overgrown age 37 baby, but I`m still stick. Not as bad as yesterday, but still bad.",human
503,"i guess your cooler than me, tony hawk never replied to me",human
504,Wishing I could kidnap from work,human
505,there coming this year ^-^ wiL said it himself but yes now would be good.,human
506,I ran out of Eclipse mints,human
507,tweeten maar,human
508,"i`m watching missing pieces, just coz the theme song is lost without you",human
509,"need some more enthu movie guys for that. Right now it`s just you, and @_Anshul",human
510,**** i hope theyr all wrong we need him,human
511,No... have to go on cruches next 2 weeks,human
512,My throat is killing me,human
513,im back on twitter.,human
514,looked up weather for greece this weekend....80 and sunny OMGZ,human
515,awww I`ll let you off - but you`d better be there for my next 30th! XD,human
516,YoYo door nazis refused me entry on account of no ID gutted! Heard it was a good night tho.. Next time I`ll come prepared!,human
517,"ah! well, I`ll see if I can find u later in the week. I am tempted to look at Leica`s this week. LOL. We could go check it out.",human
518,babe u aint been reading my tweets- my phone has fallen apart. My new on comes nxt wk. The track ball keeps fallin out my phone,human
519,hhahaa! its well strange just woke up to an empty house ahah lolllllyyyyyyyy<3 love that dog,human
520,"_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS",human
521,_s make me tea pleaseeeeeeeeeee,human
522,classes. n bout to make sum breakfast..,human
523,oh dear.. u serious? so how does one prevent bites?? I`m so itchy its distracting while editing.. *sigh*,human
524,Sports car + curb = flat tire.,human
525,i think i just good stood up...,human
526,"Omnomnom JUST came online to 69 unread emails, as well as my backlog from yesterday http://tinyurl.com/lxjdjc",human
527,hook up with Rian van Staden on Twitter. He is a (much) better cook and may have some more concrete suggestions,human
528,"Nako! Umuulan pa naman! Anyway, enjoy the bike rides!",human
529,has just discovered a great site!,human
530,Oohh Yaay like it ! ? Love ya,human
531,DotA is an addiction...i waste 6-7 hours playing dota,human
532,Yeah. It totally sucks. I hate not being able to breathe! Thanks for the ff!,human
533,How long before the Frisbee Golfer 'accidentally' catches one in the back of the head from his friend,human
534,_Lhoste Thanks you so much for following me on Twitter; I hope you find it as exciting as I do! Looking forward to your tweets!,human
535,hi guys just doing da usael notmuch really! <3 sad me,human
536,"Happy Mother`s Day to all the mommies out there, be you woman or man as long as you`re `momma` to someone this is your day!",human
537,"Not smoking sucks sucks **** SUCKS, I want a cig",human
538,"no, i do better with people i don`t know you`re going to chiodos tonight, right? just kill something for me.",human
539,While im stuck INSIDE in Elk Grove Village working all day Someone should enjoy it!,human
540,Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,human
541,That was nice. I Just ordered my mom her gift from me and my sister. Something different and unexpected.,human
542,Don`t follow your dreams; chase them.- Richard Dumb (who I think is very smart,human
543,Up is out? I didn`t get the memo It looks amazing.,human
544,yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds Goooooood lol,human
545,tonight was hilariouss i loveeee everyone that was theree,human
546,thank YOU!! You guys did awesome things for my blog tonight so grateful!!,human
547,Call me when you have time and a good phone I wanna catch up with you! I love you and miss you.,human
548,has heart burn,human
549,@_TWEE haha thanks to you that`s my new word for the week! ****,human
550,"even if I was drunk, I`d think about using a fake/temporary mail address",human
551,Happy Mom`s day to your moms !,human
552,_Guy Would luv to hear music too but i√Ø¬ø¬Ωm out of batteries - the tv plays besides but i think this is some kind of vampire movie,human
553,Just touched down in Changi. +1/2 hrs to kill before heading to Penang. Must fly singapore air more often!,human
554,"dude, that`s eff`ed up. LOL @ chris browning you. We live so far apart and Im afraid to fly",human
555,wow i have no friends on twitter,human
556,Washing The Dishes :S iTs So hard 2 be Me,human
557,"Just wanted to say, positivity is doin me good! Change it up! Won`t regret it... Forsure..",human
558,my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all.,human
559,I had mint ice-cream for dessert tonight. Love the stuff!,human
560,watching snl with my ucsd girls and laughing about twitter/blackberry jokes thought i`d tweet that.,human
561,Drink #2: And at 12:45pm when leaving the shops I had a Medium Light Coffee Frappuccino. Nom nom nom,human
562,Depends on what they want for it....I`ve become poor again,human
563,uploading pictures on myspace,human
564,"but it was kinda funny, sorry. ur still my favorite tho",human
565,i think both ?s related to size depend on structures and system: hard to relay in tweet but worth blogging..good questions this am,human
566,Almost to grandmas now. No internet there. I will never catch up on twitter.,human
567,Is having awesome fruits and vegetable juice at the opening of Lam`s noodles at 8 http://tinyurl.com/r65c68,human
568,LoL Clever I`m Extremely Jealous Of The Amount Of Followers You Have I Only Have 24,human
569,okie gonna tweet more because i am loosing you guys or girls,human
570,"I think your friend is thinking of Jonathan, not Danny",human
571,Packing up and leaving inlaws house heading home sweet home... Had a nice weekend and back to work in a few hours,human
572,HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs sign up for #maternalhealth here`s for all mothers and luvin kids out there: http://bit.ly/Bpekk,human
573,just got back from donating blood,human
574,why am i so tired?,human
575,y do i only have 2 people following me people follow me please x,human
576,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,human
577,another purse? Need to see photos.,human
578,Aw. Toy Story 3 is coming out NEXT year.,human
579,I`m not leaving yet!,human
580,goooodnight everyone! and Happy Mothers Day to all the mothers out there.,human
581,My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental,human
582,What?? Nooooooooo There goes my weekend!,human
583,Good days with good friends make me not regret living,human
584,wats gooood !! miss yall already,human
585,OMG I would sooooo make dis show number one n da ratings,human
586,Listening to dashboard confessional & counting down the days until the concert on May 16th with,human
587,its my burfday and i`m all alone,human
588,Yes...met Jon last yr at an interesting 'Questionning Agile' Agile 2008 session. Don`t see him on this yr`s schedule.,human
589,aaawww no worries fresh start to work on growing it out again,human
590,Just spent the last two hours playing L4D with babe Had HELLA fun. I love him <3,human
591,nice to have you back,human
592,I knew there was a reason I hated cars! 1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,human
593,"well it`s not done yet ! 1 more thing left huaaahhhhh ! jupaa, resaaaa awas kaliaaannn !",human
594,"hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely",human
595,"Enjoy the coffee. We miss you, petite puce (adica Puricel in franceza)",human
596,omg evie. we have to do our plan for hot 30 tomorrow night,human
597,"Why are young people attracted to trouble? this makes me sad! ,<3 kMv",human
598,Omg i`m going to robinson with tyler wfm. And i freakin miss anthony ugh today kinda sucks. Lex<3,human
599,my little felted thing looks like an incestuous by- product of two of your lovelies,human
600,That is super sad How is Bart etc holding up?,human
601,_ERON Effy breaks my heart.,human
602,thanks lyxxx,human
603,I am jealous...Ur koi fish are getting ur attention & I`m not.....lmao I`m kidding!!,human
604,and this terrible cartoon that`s supposed to be mexican.,human
605,Happy Mothers Day!,human
606,Happy May Day and Star Wars Day,human
607,happy mother`s day!,human
608,is wondering what I did to get on the 'do not respond' list,human
609,Jaydiohead 'No Karma' ? http://twt.fm/91610 #musicmonday This is not the android I was looking for. But it`ll do.,human
610,"I am ok, I think I will just take the attitude that Mothers Day is an invented Hallmark holiday from now on",human
611,- Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,human
612,Happy birthday!,human
613,http://twitpic.com/4wgoi - At bus boys and poets ordering medici and white chocolate banana bread pudding !!,human
614,"Now, lets do funkey stuff, talking with magento, through xmlrpc with codeignite and output with amf (Zend) to flash",human
615,thanks !!my real name is nadia,human
616,BUT THEY ARE EXPENSIVE.,human
617,"_ thatd be likely, bein that i lived on campus ha...i just moved back to the cov",human
618,msn-ing. no school shouldn`t there be more bank holidays? x,human
619,_tah oh no. *hugs*,human
620,Time flies...and i never got it all right. Why oh why?,human
621,so sorry about that I have the same issues...LOL. My weekend started about an hour ago!!!,human
622,"CC√Ø¬ø¬Ωs video for Long Gone premiers today on yahoo, dont miss it: http://new.music.yahoo.com/videos/premieres/ AWESOME video and version",human
623,"I know, i know... -hugs-",human
624,you have no interview today?,human
625,is sad that she is not seeing Basshunter at Metroplex this weekend,human
626,Date movie with Nate. Most likely Wolverine.,human
627,"*reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap. Poor Holly, though she`ll grab pity votes like a shark.",human
628,She is beautiful . But don`t feel badly. Some neaby grans see grandkids about the same amt. Can`t go to them = out of luck,human
629,o can`t work that one out pain in the **** them spammers,human
630,he wasn`t there today my free day from when the bell rang and wen it rang at the end was okayy..but after,human
631,aaaaaaaahhhhhhhh I hate the Internet When will people learn 'native widgets are always best',human
632,watching W. with jas. i love my brother he`s my best friend,human
633,**** it. Totally gutted I decided not to go out tonight. Roni Size is DJing,human
634,I don`t think I like this Roy Williams who dissects frogs while still alive > You look like Chachi from Happy Days,human
635,he didn`t know there was going to be a test,human
636,i need to get tickets though idk how that is gonna happen,human
637,Safari 4 beta (OS X) is in a crash loop on startup. Back to non- cookie saving Firefox.,human
638,I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,human
639,"As opposed to twitter, where all we can do is talk to people. SL is fun. I already have way too many ways to distract myself.",human
640,wants TFA back. http://plurk.com/p/x2rgl,human
641,still on the train goin 2 the southside!,human
642,Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,human
643,Coffee time be back later kisses*,human
644,Yeah! Thanks! I`ll be back in soon to see what ya got!,human
645,ahhh fusterated,human
646,Another HD - my lecturer was gob smacked by how good our presentation was,human
647,awesome! All deserved I`m sure. Miss the Crabs games,human
648,I am using iMovie 08 and it`s still not bad. I am afraid to hear what is wrong with 09,human
649,I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,human
650,"When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good",human
651,but i`m talking to the boy first,human
652,_ENVY how come you dont think you did good?!,human
653,"outta the shower, too bad justin couldn`t spend the night. haha",human
654,jealous it looks like schindler`s list in toronto,human
655,"@ Little_Ren is lovely lovely, and so niceee",human
656,I`m saying my goodbye to my car for the next 2 weeks I`m gonna miss it!! Its going to come back beautiful though!!,human
657,Out with Audrey,human
658,I`m SO jealous! I don`t know when I`ll be able to see Conan.,human
659,My wedding next Thursday and I`m ill,human
660,Me neither. But it`s no longer about what we want. It`s about fairness. And fairness is whatever government says it is.,human
661,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,human
662,"I should post some photos of my robots ok - offline for 4 hours now. ttfn (oh, so IM...)",human
663,lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,human
664,im sure jont wont mind sharing,human
665,Aw...poor thing.,human
666,hahahah of course they have such a nasty display picture :`),human
667,boooo!!! I bet it was a nice wallet too,human
668,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,human
669,thanks scared of dentists.. looks like I am going to have to get over it and go,human
670,dad`s been having fever since last nite and needs 2 bottles of blood trasfusion..loaded 1 today..1 to go tomorrow.,human
671,who not here be glad!!!!!!! ur sso luckyyyyyyy i hate u r home n r not enduring dis!!!!,human
672,"Sick. Feel like jello, can`t talk, and delirious.",human
673,It`s teddy-chucking time,human
674,OMJ! The 3rd episode of Jonas is too great! They are so funny. I wish I was the Pizza Girll. Lol <3,human
675,Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,human
676,it makes perfect sense. I guess i am very down to earth. Thanks for your reply,human
677,"Finally, im back online! I miss my lappy. So many things to follow up. Starting with Ning... Haha.",human
678,"sux, I`m thinking of being an accountant. Mad monies! I`m a middleschool cafeteria manager (25k/yr)",human
679,"The sun is shining brightly and the day has just begun! What`s in store? Wandering around les calanques maybe? Vin, definitely!",human
680,"AM`s good for us GMT-ish people, I think. Looking forward to it and hope you`re batteries & laptop will be recharged soon.",human
681,the fact my room is so hot is making me feel sick,human
682,my arms hurt!,human
683,I can remember those Evidence Based Management lectures...definitely the best of EBM,human
684,on my way to work. I`M SO HUNGRY!,human
685,starting phase 1 of operation 'be productive'- pack clothes. can`t find pink tank top!! oh no!!!,human
686,My throat is on fire,human
687,Miss Cauzinhoooo already,human
688,"Fab, eh? Feel free to come along for some pre-ep 4 chat and drinks over at Luigi`s - http://www.luigis.org.uk tomorrow!",human
689,"Since part of your job is predicting what will happen on the golf course, what are you going to shoot?",human
690,what kind of food Celli? I`m following you now,human
691,"I just want this whole day to hurry up,",human
692,"Oh yes..i think almost every Tuesday in June. Which dresss, I just bought one, then felt guilty and took it back",human
693,OK! Oops sorry,human
694,I LLLOOOVVVEEE ICARLY,human
695,"Aye, May the 4th be with you",human
696,the suns starting to go in im getting coldddd!,human
697,On my way to dazzle bar!!,human
698,"lol! I thought we was suppose to guess..****, I tried tho..lolol!",human
699,"- Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",human
700,Going to jog down to uni. Quite a way from my family home but exercise and all that,human
701,_xo hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol missed you ha bye hun ****,human
702,Glad to see the sun out in Dublin after a great week in London. Back to work,human
703,yes not for putting inside anything else,human
704,"http://twitpic.com/4wfs8 - You are so weird. You need to lay off the smokes, because you`re talking to yourself.",human
705,had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,human
706,_Luck13 they are SO cute,human
707,haha I tried covering it with make up.. It doesn`t work lol so wearing a scarf is the way to go.,human
708,what am i gonna do when my iphone is full!,human
709,"_zaboo its ok, it just hurts abit i thought i was doing a good job... if i was rude to people i could understand... x",human
710,lost HIATUS noooooooooooooooooo D: back to school tomorow. back in 10TY (),human
711,"yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look hahah!",human
712,"Watched GossiP.Girl. Dan`s so funny, haha.",human
713,hope your day gets better soon!!,human
714,Thanks for the shoutout,human
715,is tired but happy the orphanage was wow.. and babysitting was really fun,human
716,"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh",human
717,melissa_leah: my car wont start.......,human
718,couple days?! Sheeeeit. Wish I were there. Have something at Cafe Claude for me.,human
719,Bushidokan class got canceled. I`ll just have to sign up for karate someplace else!!,human
720,does it work on the iPhone as my MacBook is flat,human
721,"aww, jon ryan bob and greta in one picture? how adorable and it brightens my morning, ty jon walker",human
722,maybe one day I can be on your favorite producers list lol,human
723,You know we do!,human
724,wants this summer to actually have some sun in it,human
725,I`d love to!!,human
726,Never commute in the rain. The people get so much meaner to you.,human
727,The problem is that I`m not finished with it But I have logged in mass hours this week on it. And i`m not being paid! POP!,human
728,what a beautiful morning! nice to be out,human
729,FAILlllllllll whenever ur freee then?,human
730,_ray Bright Eyes=Contentment,human
731,http://naturalismo.files.wordpress.com/2008/01/elliott10.jpg my hero,human
732,"I don`t think I`ve ever been up this early on a Sunday in a while. Meanwhile, the #bigweekend awaits!",human
733,i feel like taking a day off but cannot afford it looking forward to the dfb cup final tmrw night though. go werder!!!,human
734,"@_Marguerite Yup, that`s Dianne and Claudia. Dianne is new to Tweetville, Claudia has been on a while but not active here",human
735,My legs are so **** sore. And my feet hurt to walk. Whataday,human
736,Were have you been?,human
737,hahah! sadly there is no current activity though in the room,human
738,Yeah Yeah Yeahs - Softshock,human
739,We`ll watch & wait & tomorrow I can take anyone who needs to the dr w/o having to take everyone else....N`s cheeks & ears red as my hair,human
740,yeaaa i just got the link off his lj,human
741,noone wants to talk to me lol,human
742,so very irratated,human
743,"http://twitpic.com/4vuuy - thats the most colorful thing ive seen all day,wow.",human
744,Somebody get me out of work tomorrow.,human
745,"haha.. you were actually in violations of someone`s trademark?! okay.. Yeah, I went to bed at 4 and I had to be up at 6. :[",human
746,"I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad so good.",human
747,i like OGBERRY,human
748,Lost at bowling again why do i suck,human
749,"You are totally welcome to come hang out on my wiki Do it, do it!",human
750,? American Pie FOREVER. I`m watching it right now. They`re running naked around on the Streets! Would you do that? I would [ NOT ],human
751,Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work,human
752,crud is all I can say,human
753,going to work till 3...then maybe ride the horses and take my sister to softball pratice,human
754,Nice! You should submit that to failblog.org,human
755,"Is ahhh, ching chong wing wong ping pong ding dong!",human
756,has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use $25 each to anyone who wants `em. That`s face value. Should be good,human
757,_zwitschert There`s supposed to be a <3 at the end of my last tweet but I guess twitter ate it,human
758,is going to watch the two davids. yey,human
759,hahahaha wtf dianne????? who twitters that lol...i guess it depends who the person is.....,human
760,listening to a new Stolen Sheep record,human
761,Home from work. A few hours of sleep then putting some miles on the new bike.,human
762,"says livejournal is being a bee-eye-tee-see-hedge. Dum dee dum, ok back to work!",human
763,always excited for a new chapter in my life. just didnt expect it to be so emotional.,human
764,in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S )),human
765,hell yeah! Belgian beer is the bomb!! :p,human
766,"hahahaha. im listening to my iTunes library, a bit of Sonia Dada atm, ITs good",human
767,http://twitpic.com/4we4j - Speed lessons on the main screens on center court! I had to take this pic,human
768,"great pic,have to upload my pix tomo,I`ve no laptop tonight.",human
769,acsvxdcbgfn soccer now. shall see young phoebe after D: I don`t want her dressed up though,human
770,You win ... SIGH Rakeem,human
771,live long and prosper,human
772,"just got in from michaels and had some shreddies im well tired, it was fun though ryan wright stoned = LOL",human
773,Hey Charicee! How are u? Are you going to come to Italy again? please tell me yes,human
774,mean,human
775,finished proofing the wedding from March .. now just waiting for export and upload before I can share Still have 2 more sessions to do!,human
776,lol yea im thinkin bday bash ! but everybodys lame wants to sit in the house instead of qo wit me lol,human
777,waiting for the battery to charge for my new DSLR,human
778,My dad had to bury ours six weeks ago. She became his after I left for college fourteen years ago. Long time to have a kitty.,human
779,"- Bless you as well sweetie, and i hope you have a wonderful weekend",human
780,you could say that. I left it in VT and have been Blackberryless since Tuesday Night. I`m lost,human
781,"it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6",human
782,"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better",human
783,just got outta work. ....... Frankie`s house.,human
784,kirk is hotter than spock,human
785,ShoesShoesShoes.YayYayYay.lol.IWouldPostATwitPic.ButIdntKnoHow2,human
786,Search for 'Asos coupons' in Google Plenty to choose from,human
787,I want you in my mouth and my **** b!tch' mm jeffree rawks,human
788,- Does the 1st show count? That would be the midnight show Thurs night/Fri morning,human
789,Omg I can`t believe jay leno is going off the air,human
790,I`m SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight well . . . most of them anyway.,human
791,Taking 40 underpriveledged kids to the circus 2moro. BIG day planned & I still aint feeling 100% so nervous right now..,human
792,"Enjoying a beautiful day off by hanging around the house. Pam is making a cake, but she won`t give me any",human
793,it might be the swine flu! haha `cause i`ve got the flu,human
794,Happy Mothers day to all mums,human
795,i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy i have an exam tom,human
796,Is in starbucks,human